age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
49,0,586657,9,13,2,3,0,4,1,7298,0,40,38
31,1,83671,15,10,4,0,1,2,0,0,0,40,38
42,2,29393,15,10,0,6,1,4,0,0,0,40,38
19,2,104112,11,9,4,11,4,2,1,0,0,30,13
29,2,229656,11,9,0,0,4,4,0,0,0,50,38
50,2,339954,8,11,2,2,0,4,1,0,0,40,38
31,1,199368,9,13,2,10,0,2,1,0,0,50,38
25,2,476334,15,10,2,2,0,4,1,0,0,40,38
75,5,113868,10,16,2,9,0,2,1,0,0,20,38
31,2,118941,15,10,0,7,3,4,0,0,0,20,38
29,2,427965,9,13,4,0,1,2,0,0,0,40,38
29,2,169815,7,12,2,11,0,4,1,0,0,50,38
52,2,126978,11,9,2,6,5,1,0,0,0,40,2
23,2,189072,9,13,4,12,1,2,0,0,0,45,38
53,2,96827,9,13,4,7,1,4,1,0,0,40,1
44,2,126701,11,9,0,2,4,4,1,0,0,40,38
51,1,240358,11,9,2,10,0,4,1,0,0,40,38
19,5,144429,15,10,4,9,3,4,1,0,0,10,38
29,2,122127,9,13,4,9,1,4,0,8614,0,40,38
39,5,176949,7,12,2,10,0,4,1,0,0,52,38
43,2,174575,9,13,0,3,1,4,1,0,1564,45,38
31,2,106437,14,15,2,9,5,4,0,0,0,60,38
61,2,141745,11,9,0,7,1,2,0,0,0,40,38
48,3,38240,11,9,2,4,0,4,1,0,0,40,38
30,2,91145,11,9,4,5,4,4,1,0,0,55,38
33,2,79303,11,9,2,4,0,4,1,0,0,45,38
57,2,206343,11,9,5,6,1,4,1,2174,0,40,4
40,0,346532,15,10,2,0,0,2,1,0,0,40,38
53,2,113176,11,9,0,11,1,4,0,2597,0,40,38
49,2,232586,4,3,2,2,0,4,1,0,0,40,38
50,2,164198,7,12,2,5,0,2,1,15024,0,45,38
18,2,159561,1,7,4,13,3,4,1,0,0,20,38
24,2,241857,15,10,4,0,1,2,0,0,0,35,38
40,2,214242,11,9,2,6,0,4,1,0,0,50,38
28,2,94880,15,10,4,2,1,4,1,0,0,43,25
62,5,162678,9,13,2,3,0,4,1,0,0,40,38
66,3,249043,9,13,2,11,0,4,1,5556,0,26,38
33,2,159929,11,9,2,2,0,4,1,0,0,40,38
40,4,98985,11,9,0,3,1,2,1,0,0,50,38
52,2,380633,4,3,6,7,4,4,0,0,0,40,25
36,2,68273,9,13,2,11,0,4,1,0,0,40,38
44,2,223194,11,9,2,2,0,2,1,0,1485,40,13
24,2,283806,15,10,4,7,1,4,0,0,0,40,38
60,2,127084,11,9,2,10,0,4,1,0,2042,34,38
43,0,192712,15,10,2,9,5,4,0,0,0,40,38
40,2,272343,11,9,2,0,5,4,0,0,0,40,38
36,2,240323,15,10,6,0,4,2,0,0,0,40,38
48,2,130812,11,9,2,3,5,4,0,0,0,40,38
51,2,145166,11,9,2,0,0,4,1,0,0,50,38
34,2,321787,15,10,4,0,3,4,1,0,0,40,38
46,2,114032,15,10,2,12,0,4,1,0,1887,45,38
28,2,162343,11,9,4,7,1,4,1,0,0,40,32
45,1,119199,7,12,0,9,4,4,0,0,0,48,38
24,2,243190,7,12,5,2,4,1,1,8614,0,40,38
18,2,120544,6,5,4,7,3,2,1,0,0,15,38
41,2,171546,9,13,2,12,0,4,1,0,0,45,38
48,4,353012,11,9,2,2,0,4,1,0,1902,40,38
36,2,117073,11,9,4,2,3,4,1,0,0,40,38
34,2,255693,11,9,2,0,5,4,0,0,0,20,38
36,2,460437,6,5,0,11,1,4,0,0,0,40,38
38,2,193372,15,10,4,3,3,4,0,0,0,40,38
19,2,124265,15,10,4,5,3,4,1,0,0,40,38
31,2,61559,11,9,4,7,1,4,1,0,0,50,38
41,0,371382,15,10,2,3,0,2,1,0,0,40,38
35,2,46028,7,12,0,7,4,4,0,0,0,50,38
24,2,165054,8,11,2,2,0,4,1,0,0,40,38
35,2,67083,11,9,2,7,0,1,1,0,0,40,2
41,2,115411,15,10,0,11,3,4,1,2174,0,45,38
49,3,44671,7,12,2,2,0,4,1,0,0,40,38
40,2,99604,12,14,2,9,5,4,0,15024,0,24,38
41,5,283917,8,11,2,9,0,4,1,0,0,35,38
28,2,197905,11,9,2,2,0,4,1,0,0,50,38
31,2,288419,0,6,2,6,0,4,1,0,0,40,38
36,2,200352,9,13,2,9,0,4,1,0,0,45,38
41,2,113597,15,10,2,4,0,4,1,0,0,16,38
50,2,124094,11,9,2,2,0,4,1,0,0,40,30
36,3,77146,9,13,2,11,0,4,1,15024,0,45,38
39,2,340091,15,10,5,7,4,4,0,0,0,75,38
79,1,84616,1,7,2,3,0,4,1,0,0,7,38
24,2,176389,11,9,2,2,0,4,1,0,0,40,38
37,2,187346,4,3,4,0,2,4,0,0,0,40,25
33,2,194901,8,11,5,2,1,4,1,0,2444,42,38
34,2,171159,15,10,0,0,4,4,0,0,0,30,38
33,2,143540,11,9,2,2,0,4,1,0,0,40,38
21,5,110946,11,9,4,0,3,4,0,0,0,43,38
36,1,212856,1,7,4,7,4,4,0,0,0,23,38
26,2,397317,12,14,4,9,1,4,0,0,1876,40,38
65,2,80174,11,9,0,3,2,4,0,1848,0,50,38
22,2,203240,0,6,4,0,1,4,0,0,0,40,38
27,2,198286,15,10,4,7,1,4,0,0,0,34,38
54,2,104501,15,10,2,11,0,4,1,15024,0,40,38
36,5,177064,15,10,4,3,4,4,0,0,0,40,38
65,2,90907,4,3,2,7,0,1,1,0,0,40,38
20,2,209955,15,10,4,7,3,4,1,0,0,25,38
56,2,659558,2,8,6,7,4,2,0,0,0,40,38
19,2,251579,15,10,4,7,3,4,1,0,0,14,38
35,2,30673,2,8,2,2,0,4,1,0,0,84,38
52,0,129177,11,9,0,0,1,4,0,0,0,40,38
28,5,70100,9,13,4,9,1,4,1,0,0,20,38
18,2,128538,1,7,4,11,3,4,0,0,0,25,38
50,1,124076,9,13,2,9,5,4,0,0,0,40,38
37,2,238049,6,5,4,8,1,4,0,0,0,30,7
19,2,219189,2,8,4,7,3,4,1,0,0,25,38
69,2,541737,15,10,6,0,1,4,0,2050,0,24,38
21,2,322931,15,10,4,2,1,4,1,0,0,55,38
41,2,176069,11,9,5,6,4,4,0,0,0,40,38
28,2,208965,6,5,4,6,4,3,1,0,0,40,25
29,2,78261,14,15,4,9,3,4,1,0,0,50,38
46,2,146919,11,9,2,0,5,4,0,0,0,40,38
33,2,520033,2,8,2,0,5,4,0,0,0,40,38
17,2,167658,2,8,4,11,3,4,0,0,0,6,38
33,5,295589,15,10,5,0,3,2,1,0,0,35,38
24,2,283613,9,13,4,9,1,4,1,0,0,43,38
30,2,460408,11,9,2,2,0,4,1,0,0,40,38
41,0,187462,8,11,0,0,3,2,0,0,0,40,38
41,2,100451,11,9,2,2,0,4,1,7688,0,38,38
38,2,146178,11,9,4,2,4,2,0,0,0,40,38
27,2,195337,15,10,4,6,1,4,0,0,0,40,38
23,2,120046,7,12,4,0,3,4,1,0,0,40,38
32,2,267736,15,10,4,0,3,2,0,0,0,40,38
49,2,178749,12,14,3,0,4,4,0,0,0,40,38
70,2,236055,5,4,6,7,1,4,0,0,0,35,38
19,5,354104,15,10,4,9,3,4,1,0,0,10,38
28,1,401886,11,9,4,0,2,4,1,0,0,20,38
32,2,113838,15,10,2,5,0,4,1,0,0,40,38
18,2,130652,15,10,4,0,3,4,0,0,0,25,38
30,2,1184622,15,10,2,13,0,2,1,0,0,35,38
36,2,256636,11,9,0,3,1,4,1,0,0,40,38
50,2,107665,15,10,2,11,0,4,1,0,0,40,38
40,4,204235,12,14,2,3,0,4,1,99999,0,50,38
31,2,364657,15,10,2,3,0,4,1,0,0,50,10
22,2,219042,0,6,4,6,4,4,1,0,0,40,38
24,2,186221,1,7,0,11,4,4,0,0,0,35,38
36,2,398931,11,9,0,2,1,4,1,0,0,40,38
32,2,156464,11,9,2,11,0,4,1,0,1902,50,38
22,2,88126,9,13,4,3,3,4,1,0,0,40,38
27,2,107812,9,13,2,11,2,4,1,0,0,40,38
46,2,456062,10,16,2,9,0,4,1,0,2415,55,38
31,2,169122,15,10,2,9,0,4,1,0,0,50,38
67,2,257557,5,4,2,13,0,2,1,10566,0,40,38
34,2,110554,11,9,0,11,3,4,0,0,0,35,38
24,2,241523,11,9,2,7,0,4,1,0,0,45,38
41,4,155767,15,10,2,3,0,4,1,0,0,50,38
31,2,47151,11,9,4,7,1,4,0,0,0,56,38
17,2,197732,1,7,4,7,3,4,0,0,0,12,38
45,2,102771,11,9,2,2,0,4,1,0,1887,40,38
